data_source_id,procedure_code_id_source,procedure_code_category_id_reference
1,169|~|2,1
1,1004384|~|2,1
1,1010|~|2,1
1,1011|~|2,1
1,567|~|2,1
1,568|~|2,1
1,1000425|~|2,1
1,1002198|~|2,1
1,1002451|~|2,1
1,171|~|2,1
1,1004501|~|2,1
1,1003907|~|2,1
1,1001878|~|2,1
1,1000426|~|2,1
1,1000033|~|2,1
1,1003908|~|2,1
1,1001879|~|2,1
1,1000427|~|2,1
1,1002578|~|2,1
1,570|~|2,1
1,1002606|~|2,1
1,1000428|~|2,1
1,771|~|2,1
1,1004025|~|2,1
1,1000429|~|2,1
1,170|~|2,1
1,1004498|~|2,1
1,1003909|~|2,1
1,1000430|~|2,1
1,1002452|~|2,1
1,571|~|2,1
1,1002453|~|2,1
1,1002454|~|2,1
1,1002455|~|2,1
1,1002456|~|2,1
1,1002457|~|2,1
1,482|~|2,1
1,1003910|~|2,1
1,1000432|~|2,1
1,1004741|~|2,1
1,1029|~|2,1
1,1002458|~|2,1
1,1004740|~|2,1
1,1003344|~|2,1
1,1030|~|2,1
1,1031|~|2,1
1,1002185|~|2,1
1,1034|~|2,1
1,172|~|2,1
1,1003911|~|2,1
1,1001877|~|2,1
1,1000433|~|2,1
1,1003638|~|2,1
1,1003639|~|2,1
1,1003640|~|2,1
1,173|~|2,1
1,1000185|~|2,1
1,1003754|~|2,1
1,1004032|~|2,1
1,1000435|~|2,1
1,1003641|~|2,1
1,1003642|~|2,1
1,1003643|~|2,1
1,1002459|~|2,1
1,1004738|~|2,1
1,1004737|~|2,1
1,1004736|~|2,1
1,1002460|~|2,1
1,1004735|~|2,1
1,1004733|~|2,1
1,174|~|2,1
1,1004732|~|2,1
1,601|~|2,1
1,1000436|~|2,1
1,1005032|~|2,1
1,1005033|~|2,1
1,1005119|~|2,1
1,924|~|2,1
1,661|~|2,1
1,925|~|2,1
1,1002844|~|2,1
1,887|~|2,1
1,926|~|2,1
1,888|~|2,1
1,927|~|2,1
1,889|~|2,1
1,573|~|2,1
1,685|~|2,1
1,1002845|~|2,1
1,1002846|~|2,1
1,1002847|~|2,1
1,1002848|~|2,1
1,1002849|~|2,1
1,1002850|~|2,1
1,1002851|~|2,1
1,1002852|~|2,1
1,1002853|~|2,1
1,1002854|~|2,1
1,673|~|2,1
1,1002855|~|2,1
1,654|~|2,1
1,655|~|2,1
1,657|~|2,1
